C,Si,Mn,P,S,Cr,Ni,Al,Cu,steel_class
"0,244444444444444","0,075","0,614777777777778","0,0237555555555556","0,0365444444444444","0,00756666666666667","0,0546444444444444","0,00267777777777778","0,162",St 48
"0,136833333333333","0,260666666666667","0,896","0,03245","0,0420666666666667","0,00925","0,0478","0,00565","0,1685",St 48
"0,1592","0,2749","0,8746","0,0392","0,0523","0,0166","0,0495","0,0031","0,1647",St 48
"0,310166666666667","0,206833333333333","0,6645","0,01285","0,0391833333333333","0,0295","0,0536333333333333","0,00363333333333333","0,183666666666667",St 48
"0,258166666666667","0,191833333333333","0,649666666666667","0,00961666666666667","0,0284","0,0319833333333333","0,0507666666666667","0,00236666666666667","0,182666666666667",St 48
"0,262777777777778","0,159333333333333","0,838444444444444","0,0360777777777778","0,0463666666666667","0,00542222222222222","0,0353111111111111","0,00861111111111111","0,118222222222222",St 48
"0,0701714285714286","1,08428571428571","0,619428571428571","0,0100714285714286","0,0368714285714286","0,005","0,0386142857142857","0,0295","0,0975",St Si
"0,189833333333333","0,005","0,571833333333333","0,0524333333333333","0,0321666666666667","0,005","0,0193166666666667","0,00783333333333333","0,0334166666666667",St 48-TH
"0,0778333333333333","0,005","0,455666666666667","0,0068","0,0262333333333333","0,005","0,04865","0,002","0,180666666666667",St 37
"0,202","0,225","0,199","0,074","0,012","0,005","0,023","0,008","0,035",Puddelstahl
"0,208","0,17","0,141","0,067","0,013","0,005","0,028","0,004","0,037",Puddelstahl
"0,2","0,126","0,116","0,066","0,011","0,005","0,025","0,003","0,036",Puddelstahl
"0,203","0,174","0,152","0,069","0,012","0,005","0,025","0,005","0,036",Puddelstahl
"0,006","0,047","0,064","0,069","0,003","0,005","0,024","0,003","0,047",Puddelstahl
"0,006","0,042","0,057","0,07","0,003","0,005","0,025","0,002","0,047",Puddelstahl
"0,007","0,039","0,057","0,071","0,003","0,005","0,024","0,002","0,047",Puddelstahl
"0,006","0,043","0,059","0,07","0,003","0,005","0,025","0,002","0,047",Puddelstahl
"0,238","0,112","0,071","0,05","0,004","0,005","0,029","0,006","0,035",Puddelstahl
"0,238","0,055","0,09","0,05","0,003","0,005","0,03","0,002","0,036",Puddelstahl
"0,252","0,081","0,094","0,049","0,003","0,005","0,03","0,002","0,036",Puddelstahl
"0,252","0,073","0,096","0,051","0,003","0,005","0,029","0,002","0,036",Puddelstahl
"0,245","0,08","0,088","0,05","0,003","0,005","0,029","0,003","0,036",Puddelstahl
"0,238","0,112","0,071","0,05","0,004","0,005","0,029","0,006","0,035",Puddelstahl
"0,238","0,055","0,09","0,05","0,003","0,005","0,03","0,002","0,036",Puddelstahl
"0,252","0,081","0,094","0,049","0,003","0,005","0,03","0,002","0,036",Puddelstahl
"0,252","0,073","0,096","0,051","0,003","0,005","0,029","0,002","0,036",Puddelstahl
"0,245","0,08","0,088","0,05","0,003","0,005","0,029","0,003","0,036",Puddelstahl
"0,008","0,029","0,026","0,128","0,008","0,005","0,031","0,003","0,041",Puddelstahl
"0,007","0,016","0,018","0,118","0,006","0,005","0,031","0,002","0,042",Puddelstahl
"0,006","0,014","0,018","0,116","0,007","0,005","0,031","0,002","0,042",Puddelstahl
"0,007","0,02","0,021","0,121","0,007","0,005","0,031","0,002","0,042",Puddelstahl
"0,005","0,328","0,269","0,083","0,019","0,005","0,022","0,044","0,035",Puddelstahl
"0,006","0,243","0,226","0,086","0,015","0,005","0,023","0,066","0,036",Puddelstahl
"0,094","0,026","0,064","0,054","0,001","0,001","0,032",0,"0,049",Puddelstahl
"0,102","0,035","0,07","0,054","0,002","0,001","0,031",0,"0,049",Puddelstahl
"0,106","0,043","0,08","0,057","0,003",0,"0,031",0,"0,05",Puddelstahl
"0,12","0,03","0,071","0,054",0,0,"0,024",0,"0,051",Puddelstahl
"0,078","0,025","0,084","0,09","0,008","0,001","0,023",0,"0,046",Puddelstahl
"0,081","0,029","0,084","0,094","0,009","0,001","0,027",0,"0,047",Puddelstahl
"0,079","0,026","0,085","0,094","0,009","0,001","0,025",0,"0,046",Puddelstahl
"0,079","0,027","0,084","0,092","0,008","0,001","0,025",0,"0,047",Puddelstahl
"0,21","0,502","0,369","0,089","0,006","0,002","0,031","0,033","0,039",Puddelstahl
"0,186","0,367","0,309","0,094","0,005","0,003","0,03","0,026","0,041",Puddelstahl
"0,158","0,3","0,27","0,099","0,005","0,002","0,028","0,023","0,042",Puddelstahl
"0,018","0,181","0,259","0,068","0,002","0,003","0,03","0,016","0,031",Puddelstahl
"0,018","0,12","0,169","0,073","0,001","0,002","0,025","0,008","0,032",Puddelstahl
"0,01","0,079","0,121","0,078","0,002","0,002","0,025","0,006","0,033",Puddelstahl
"0,015","0,127","0,183","0,073","0,002","0,002","0,027","0,01","0,032",Puddelstahl
"0,014","0,058","0,072","0,066","0,007","0,001","0,028","0,004","0,035",Puddelstahl
"0,015","0,061","0,073","0,068","0,007","0,001","0,026","0,003","0,034",Puddelstahl
"0,014","0,044","0,063","0,067","0,008","0,001","0,028",0,"0,034",Puddelstahl
"0,008","0,37","0,288","0,065","0,012","0,001","0,029","0,034","0,033",Puddelstahl
"0,018","0,883","0,752","0,106","0,008","0,005","0,025","0,039","0,045",Puddelstahl
"0,018","0,4","0,396","0,1","0,006","0,005","0,027","0,014","0,051",Puddelstahl
"0,044","1,09","0,76","0,09","0,01","0,002","0,029","0,037","0,046",Puddelstahl
